date,name,code,close,trading_value_billion,daily_return_pct,is_new_listing
20240129,씨젠,96530,29000,2657,20.58%,N
20240129,엔켐,348370,169500,7787,19.87%,N
20240126,HLB,28300,65200,10269,17.69%,N
20240126,신성델타테크,65350,89500,4580,18.86%,N
20240126,나무가,190510,20850,2828,23.37%,N
20240125,LB세미콘,61970,9170,2572,21.78%,N
20240125,코세스,89890,20350,2694,16.55%,N
20240122,네오셈,253590,14270,3208,21.97%,N
20240118,엔켐,348370,129000,3549,16.53%,N
20240117,빅텍,65450,6900,6922,18.97%,N
20240116,한미사이언스,8930,56200,6340,32.86%,N
20240111,한화투자증권,3530,4400,2520,15.79%,N
20240110,한글과컴퓨터,30520,24750,7183,18.14%,N
20240109,한빛레이저,452190,12480,2479,19.88%,Y
20240108,한글과컴퓨터,30520,19460,2968,27.94%,N
20240108,신성델타테크,65350,72500,6256,16.19%,N
20240108,한빛레이저,452190,9600,3397,33.15%,Y
20240102,셀트리온제약,68760,111965,5583,29.51%,N
20240102,제주반도체,80220,16700,3677,24.91%,N
20240102,퀄리타스반도체,432720,44602,2366,16.19%,Y
20231222,씨싸이트,109670,44250,4281,28.26%,Y
20231221,알테오젠,196170,88100,5495,22.02%,N
20231220,하림,136480,4905,3220,27.07%,N
20231218,에코프로머티,450080,213000,18644,24.49%,Y
20231218,두산로보틱스,454910,107800,8298,15.05%,Y
20231218,LS머트리얼즈,417200,39900,10191,18.57%,Y
20231215,에코프로머티,450080,169000,16756,17.20%,Y
20231212,SFA반도체,36540,6590,3589,24.34%,N
20231212,LS머트리얼즈,417200,24000,9581,20.36%,Y
20231211,엑스게이트,356680,7550,3009,29.28%,Y
20231208,제주반도체,80220,11280,3957,21.29%,N
20231206,대상홀딩스,84690,13310,2151,32.17%,N
20231206,케이엔에스,432470,46000,7713,29.58%,Y
20231204,갤럭시아머니트리,94480,11350,2222,17.74%,N
20231201,시노펙스,25320,4376,2636,20.75%,N
20231130,LS에코에너지,229640,16800,3097,23.62%,N
20231127,에코프로머티,450080,124600,15564,19.92%,Y
20231127,에이직랜드,445090,54400,2449,21.84%,Y
20231124,그린리소스,402490,26166,13540,77.29%,Y
20231122,큐로셀,372320,34450,2428,31.74%,Y
20231121,에코아이,448280,20765,6569,35.14%,Y
20231120,메디아나,41920,10240,2397,27.84%,N
20231117,에코프로머티,450080,57200,21970,33.02%,Y
20231115,캡스톤파트너스,452300,9180,5328,31.14%,Y
20231113,에스와이스틸텍,365330,3349,5804,23.17%,Y
20231106,종근당,185750,116685,3135,21.44%,N
20231102,지구홀딩스,221800,8550,3516,42.50%,N
20231101,워트,396470,15240,3518,20.00%,Y
20231020,이랜시스,264850,6430,2173,23.18%,N
20231018,휴니드,5870,9270,3085,19.77%,N
20231017,극동유화,14530,5260,2128,16.11%,N
20231017,아이엠티,451220,31700,2533,22.87%,Y
20231016,대성에너지,117580,12920,2001,16.29%,N
20231013,흥구석유,24060,13500,4157,16.58%,N
20231011,흥구석유,24060,10070,3034,21.77%,N
20230925,이랜시스,264850,5920,2263,18.40%,N
20230925,인스웨이브,450520,17186,7871,42.66%,Y
20230921,비츠로테크,42370,12100,4405,20.40%,N
20230919,롯데손해보험,400,3105,2263,15.86%,N
20230918,머큐리,100590,8890,2516,15.16%,N
20230914,주성엔지니어링,36930,31700,3866,16.12%,N
20230912,퓨런티어,370090,39800,2499,22.09%,N
20230911,두산,150,149100,6336,24.25%,N
20230907,유진로봇,56080,14100,4625,22.29%,N
20230907,HB테크놀러지,78150,3780,2103,29.67%,N
20230905,루닛,328130,52275,4516,27.55%,N
20230905,뷰노,338220,64200,3601,18.01%,N
20230904,대동,490,13980,2517,32.14%,N
20230904,포스코DX,22100,58200,8442,16.17%,N
20230901,하나마이크론,67310,23595,4735,28.97%,N
20230901,스마트레이더시스템,424960,30000,3726,31.87%,Y
20230831,포스코DX,22100,56100,14093,15.67%,N
20230831,파로스아이바이오,388870,25000,2440,27.81%,Y
20230830,스마트레이더시스템,424960,22100,3623,20.96%,Y
20230829,뷰노,338220,50100,2729,19.29%,N
20230828,우리로,46970,2750,2354,18.53%,N
20230825,스마트레이더시스템,424960,17210,4341,19.10%,Y
20230824,폴라리스오피스,41020,7150,4786,26.10%,N
20230824,큐렉소,60280,24400,5735,20.79%,N
20230823,디알텍,214680,5200,5007,21.92%,N
20230822,큐리옥스바이오시스템즈,445680,16428,2278,28.56%,Y
20230821,센코,347000,5680,2423,15.45%,N
20230818,한미반도체,42700,57800,9585,20.67%,N
20230816,LS에코에너지,229640,17180,4202,18.48%,N
20230816,비츠로테크,42370,11950,2246,17.85%,N
20230816,한양이엔지,45100,24400,2649,23.23%,N
20230814,LS에코에너지,229640,13220,3617,15.46%,N
20230814,티로보틱스,117730,33450,2057,18.20%,N
20230814,파두,440110,39900,5224,30.82%,Y
20230811,파워로직스,47310,12870,4168,26.42%,N
20230810,아난티,25980,8430,2598,22.53%,N
20230810,엠아이큐브솔루션,373170,14778,2113,15.06%,Y
20230810,큐리옥스바이오시스템즈,445680,8667,5163,33.32%,Y
20230808,유진로봇,56080,9280,5199,17.62%,N
20230807,덕성,4830,11900,2770,29.63%,N
20230807,서남,294630,12610,8379,15.27%,N
20230804,폴라리스오피스,41020,6140,2595,18.99%,N
20230804,에코프로에이치엔,383310,103598,8567,26.20%,N
20230803,덕성,4830,9690,2107,23.44%,N
20230803,모비스,250060,4400,2889,19.40%,N
20230803,파로스아이바이오,388870,18920,2039,23.58%,Y
20230802,LS에코에너지,229640,10490,2833,23.70%,N
20230801,폴라리스오피스,41020,5500,2067,15.06%,N
20230801,신성델타테크,65350,19730,2553,26.07%,N
20230801,서남,294630,6500,2097,15.45%,N
